File: ./hwmcc14/single/6s205b20.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc14/single/6s205b20.aig
Started at: Fri 18 Apr 2025 01:51:02 AM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc14/single/6s205b20.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================
Warning: property not found, moved 1 outputs to bad properties
abc preprocess timeout

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
11233 50.00       
11234 0.00        
11235 0.00        
11236 100.00      
11237 50.00       
11238 100.00      
11239 50.00       
11240 100.00      
11241 50.00       
11242 100.00      
11243 99.00       
11244 99.00       
11245 99.00       
11246 99.00       
11247 99.00       
11248 99.00       
11249 99.00       
11250 49.00       
11251 100.00      
11252 49.00       
11253 36.00       
11254 36.00       
11255 49.00       
11256 49.00       
11257 50.00       
11258 50.00       
11259 48.00       
11260 48.00       
11261 49.00       
11262 49.00       
11263 50.00       
11264 50.00       
11265 49.00       
11266 49.00       
11267 50.00       
11268 50.00       
11269 50.00       
11270 50.00       
11271 100.00      
11272 50.00       
11273 100.00      
11274 50.00       
11275 100.00      
11276 50.00       
11277 100.00      
11278 50.00       
11279 100.00      
11280 50.00       
11281 100.00      
11282 50.00       
11283 100.00      
11284 50.00       
11285 100.00      
11286 50.00       
11287 100.00      
11288 50.00       
11289 100.00      
11290 50.00       
11291 49.00       
11292 49.00       
11293 27.00       
11294 27.00       
11295 49.00       
11296 49.00       
11297 48.00       
11298 48.00       
11299 50.00       
11300 50.00       
11301 49.00       
11302 49.00       
11303 50.00       
11304 50.00       
11305 49.00       
11306 49.00       
11307 50.00       
11308 49.00       
11309 50.00       
11310 50.00       
11311 100.00      
11312 50.00       
11313 100.00      
11314 50.00       
11315 100.00      
11316 50.00       
11317 100.00      
11318 50.00       
11319 100.00      
11320 50.00       
11321 100.00      
11322 50.00       
11323 100.00      
11324 50.00       
11325 100.00      
11326 50.00       
11327 100.00      
11328 50.00       
11329 100.00      
11330 50.00       
11331 100.00      
11332 50.00       
11333 100.00      
11334 50.00       
11335 100.00      
11336 50.00       
11337 100.00      
11338 50.00       
11339 100.00      
11340 50.00       
11341 100.00      
11342 50.00       
11343 100.00      
11344 50.00       
11345 100.00      
11346 50.00       
11347 100.00      
11348 50.00       
11349 100.00      
11350 50.00       
11351 100.00      
11352 50.00       
11353 100.00      
11354 50.00       
11355 100.00      
11356 50.00       
11357 100.00      
11358 50.00       
11359 100.00      
11360 50.00       
11361 100.00      
11362 50.00       
11363 40.00       
11364 60.00       
11365 100.00      
11366 40.00       
11367 20.00       
11368 20.00       
11369 40.00       
11370 60.00       
11371 99.00       
11372 0.00        
11373 60.00       
11374 100.00      
11375 50.00       
11376 100.00      
11377 40.00       
11378 80.00       
11379 80.00       
11380 20.00       
11381 60.00       
11382 40.00       
11383 60.00       
11384 100.00      
11385 50.00       
